"SONG_ID","TITLE","SP BEGINNER","SP NORMAL","SP HYPER","SP ANOTHER","SP LEGGENDARIA","DP NORMAL","DP HYPER","DP ANOTHER","DP LEGGENDARIA","SPB","SPN","SPH","SPA","SPL","DPN","DPH","DPA","DPL"
"1","GAMBOL","NULL","137","137","NULL","NULL","137","137","NULL","NULL","NULL","2","2","NULL","NULL","2","2","NULL","NULL"
"2","GRADIUSIC CYBER","NULL","442","508","609","NULL","409","556","631","NULL","NULL","5","6","7","NULL","4","9","9","NULL"
"3","R3","NULL","330","368","454","NULL","384","392","475","NULL","NULL","4","5","6","NULL","4","6","8","NULL"
"4","22DUNK","NULL","265","323","329","NULL","333","334","329","NULL","NULL","3","4","5","NULL","5","5","5","NULL"
"5","5.1.1.","NULL","99","511","786","NULL","99","511","796","NULL","NULL","2","6","10","NULL","1","7","10","NULL"
"6","BRILLIANT 2U","NULL","270","330","362","NULL","288","363","NULL","NULL","NULL","3","4","4","NULL","3","5","NULL","NULL"
"7","deep in you","NULL","250","255","333","NULL","283","293","364","NULL","NULL","4","4","5","NULL","3","4","7","NULL"
"8","GENOM SCREAMS","NULL","211","417","536","NULL","211","417","538","NULL","NULL","3","6","9","NULL","3","6","9","NULL"
"9","KEEP ON MOVIN’","NULL","98","122","NULL","NULL","119","122","NULL","NULL","NULL","2","3","NULL","NULL","2","3","NULL","NULL"
"10","PARANOIA MAX～DIRTY MIX～","NULL","280","376","562","NULL","280","406","581","NULL","NULL","5","6","8","NULL","3","6","9","NULL"
"11","THE EARTH LIGHT","NULL","398","530","581","NULL","456","718","581","NULL","NULL","4","7","8","NULL","5","10","7","NULL"
"12","Dancin’ Into The Night","NULL","216","235","NULL","NULL","224","237","NULL","NULL","NULL","2","3","NULL","NULL","2","3","NULL","NULL"
"13","Hitch Hiker","NULL","329","414","469","NULL","372","469","NULL","NULL","NULL","3","4","5","NULL","4","6","NULL","NULL"
"14","I Was The One","NULL","272","326","348","NULL","205","270","NULL","NULL","NULL","3","3","4","NULL","2","2","NULL","NULL"
"15","PUT YOUR FAITH IN ME(for beatmania II)","NULL","291","434","NULL","NULL","288","434","NULL","NULL","NULL","3","6","NULL","NULL","4","7","NULL","NULL"
"16","SP-TRIP MACHINE(for beatmania II)","NULL","254","313","324","NULL","254","311","NULL","NULL","NULL","3","4","4","NULL","3","5","NULL","NULL"
"17","0.59","NULL","360","514","584","NULL","444","514","585","NULL","NULL","4","6","7","NULL","4","6","7","NULL"
"18","CAN’T STOP FALLIN’IN LOVE","NULL","310","632","NULL","NULL","313","620","NULL","NULL","NULL","4","8","NULL","NULL","4","7","NULL","NULL"
"19","Don’t Stop!","NULL","389","428","453","NULL","391","450","NULL","NULL","NULL","4","4","4","NULL","4","4","NULL","NULL"
"20","era (nostalmix)","NULL","437","555","786","NULL","437","952","1226","NULL","NULL","5","8","9","NULL","5","12","12","NULL"
"21","Holic","NULL","395","624","880","NULL","680","875","1136","NULL","NULL","5","7","11","NULL","7","10","12","NULL"
"22","LEADING CYBER","NULL","434","611","645","NULL","478","611","645","NULL","NULL","4","6","7","NULL","4","6","6","NULL"
"23","never let you down","NULL","408","575","581","NULL","465","577","NULL","NULL","NULL","4","5","5","NULL","4","6","NULL","NULL"
"24","R5","NULL","387","588","889","NULL","430","599","870","NULL","NULL","5","8","11","NULL","5","8","11","NULL"
"25","REINCARNATION","NULL","424","525","643","NULL","398","525","643","NULL","NULL","4","5","7","NULL","4","5","7","NULL"
"26","Schlagwerk","NULL","414","663","848","NULL","412","1043","1090","NULL","NULL","4","6","8","NULL","4","11","11","NULL"
"27","Skyscraper","NULL","372","610","629","NULL","413","628","NULL","NULL","NULL","4","6","7","NULL","4","7","NULL","NULL"
"28","Tangerine Stream","NULL","141","198","NULL","NULL","151","199","NULL","NULL","NULL","2","3","NULL","NULL","2","3","NULL","NULL"
"29","THE SAFARI","183","618","900","NULL","NULL","624","900","NULL","NULL","NULL","7","10","NULL","NULL","8","10","NULL","NULL"
"30","ABSOLUTE","NULL","682","935","1218","1412","728","934","1338","1488","NULL","6","8","10","11","6","8","11","11"
"31","Broken My Heart","NULL","474","751","914","NULL","405","742","914","NULL","NULL","5","7","9","NULL","4","7","10","NULL"
"32","CHECKING YOU OUT","NULL","339","481","700","NULL","339","482","703","NULL","NULL","7","9","11","NULL","7","11","11","NULL"
"33","Clione","NULL","264","479","811","1102","264","477","1010","1203","NULL","4","5","9","11","3","4","9","11"
"34","DIAMOND JEALOUSY","NULL","343","546","NULL","NULL","340","542","NULL","NULL","NULL","5","6","NULL","NULL","4","6","NULL","NULL"
"35","DXY!","NULL","651","968","1158","NULL","781","1332","1529","NULL","NULL","6","9","10","NULL","6","12","12","NULL"
"36","empathy","NULL","416","703","743","NULL","411","961","NULL","NULL","NULL","5","7","8","NULL","4","11","NULL","NULL"
"37","era (step mix)","NULL","565","733","875","NULL","503","728","1226","NULL","NULL","5","8","9","NULL","4","8","12","NULL"
"38","FLOWERS for ALBION","NULL","122","222","NULL","NULL","190","222","NULL","NULL","NULL","2","5","NULL","NULL","5","7","NULL","NULL"
"39","HIGHER","NULL","270","468","641","NULL","362","578","611","NULL","NULL","3","4","6","NULL","4","6","7","NULL"
"40","Hitch Hiker2","NULL","420","609","665","976","518","880","864","975","NULL","4","6","7","9","5","9","9","10"
"41","Jam&Marmalade","NULL","388","456","512","NULL","327","451","NULL","NULL","NULL","6","7","8","NULL","4","6","NULL","NULL"
"42","KAMIKAZE","NULL","515","745","1157","NULL","512","745","1156","NULL","NULL","5","6","10","NULL","5","7","10","NULL"
"43","LOVE WILL・・・","NULL","279","379","732","NULL","330","529","726","NULL","NULL","4","4","7","NULL","4","6","8","NULL"
"44","minimalian","NULL","271","555","706","NULL","263","626","1015","NULL","NULL","3","8","9","NULL","3","9","12","NULL"
"45","starmine","224","456","719","800","NULL","566","796","1098","NULL","NULL","5","8","9","NULL","5","8","12","NULL"
"46","SWEET LAB","NULL","280","496","692","NULL","445","674","719","NULL","NULL","3","6","10","NULL","6","10","12","NULL"
"47","Under Construction","NULL","417","507","582","NULL","417","569","754","NULL","NULL","5","7","8","NULL","5","7","8","NULL"
"48","Voltage (feat. Hidemaru)","NULL","480","630","670","NULL","480","964","NULL","NULL","NULL","5","7","8","NULL","5","11","NULL","NULL"
"49","250bpm","NULL","353","528","726","NULL","351","523","672","NULL","NULL","5","8","10","NULL","4","7","9","NULL"
"50","Abyss","NULL","639","817","945","NULL","771","889","964","NULL","NULL","5","7","8","NULL","7","8","9","NULL"
"51","Estella","NULL","382","559","NULL","NULL","567","799","NULL","NULL","NULL","4","6","NULL","NULL","6","10","NULL","NULL"
"52","in my eyes","NULL","484","739","798","NULL","484","842","1051","NULL","NULL","5","6","7","NULL","5","8","10","NULL"
"53","INSERTiON","NULL","452","664","835","NULL","445","595","850","NULL","NULL","5","7","8","NULL","5","7","8","NULL"
"54","Kiss me all night long","NULL","471","629","746","NULL","480","620","703","NULL","NULL","5","6","7","NULL","5","6","7","NULL"
"55","LOVE AGAIN TONIGHT～for Mellisa mix～","NULL","385","501","561","NULL","466","555","NULL","NULL","NULL","4","5","6","NULL","4","5","NULL","NULL"
"56","outer wall","NULL","474","687","892","NULL","474","736","902","NULL","NULL","5","6","8","NULL","5","7","10","NULL"
"57","QQQ","NULL","621","961","1091","NULL","1016","1346","NULL","NULL","NULL","5","8","10","NULL","10","12","NULL","NULL"
"58","Radical Faith","NULL","602","768","660","NULL","749","1255","1101","NULL","NULL","5","6","7","NULL","6","11","10","NULL"
"59","Real","NULL","580","866","920","NULL","796","949","1139","NULL","NULL","5","8","9","NULL","7","9","11","NULL"
"60","Regulus","NULL","551","788","881","NULL","545","805","1065","NULL","NULL","6","9","10","NULL","6","10","11","NULL"
"61","RIDE ON THE LIGHT (HI GREAT MIX)","NULL","452","548","862","931","469","616","904","1010","NULL","4","5","8","10","5","8","9","10"
"62","RISLIM","NULL","463","625","NULL","NULL","463","625","NULL","NULL","NULL","4","7","NULL","NULL","4","6","NULL","NULL"
"63","sometime","NULL","393","539","672","NULL","393","676","693","NULL","NULL","4","6","8","NULL","5","8","8","NULL"
"64","Spin the disc","NULL","409","659","674","NULL","618","900","NULL","NULL","NULL","5","7","8","NULL","7","10","NULL","NULL"
"65","STILL IN MY HEART","NULL","517","705","971","NULL","516","705","1286","NULL","NULL","5","7","9","NULL","4","6","11","NULL"
"66","still my words","NULL","464","619","NULL","NULL","437","726","NULL","NULL","NULL","4","6","NULL","NULL","5","7","NULL","NULL"
"67","sync","NULL","549","982","1204","NULL","796","1030","1208","NULL","NULL","6","8","10","NULL","7","9","11","NULL"
"68","THE SHINING POLARIS","NULL","485","667","799","NULL","485","665","NULL","NULL","NULL","5","7","8","NULL","6","8","NULL","NULL"
